1946		Genre:	Thriller	Mean:	6.38		Standard Deviation:	0.69
1946		Genre:	Western	Mean:	4.14		Standard Deviation:	3.1
1946		Language:	English	Mean:	5.94		Standard Deviation:	1.51
1947		All Languages All		Mean:	5.65		Standard Deviation:	1.93
1947		Genre:	Adventure	Mean:	4.82		Standard Deviation:	2.46
1947		Genre:	Comedy	Mean:	5.86		Standard Deviation:	2.32
1947		Genre:	Crime	Mean:	6.13		Standard Deviation:	1.11
1947		Genre:	Drama	Mean:	5.77		Standard Deviation:	1.89
1947		Genre:	Music	Mean:	4.78		Standard Deviation:	2.52
1947		Genre:	Mystery	Mean:	6.09		Standard Deviation:	0.93
1947		Genre:	Romance	Mean:	6.05		Standard Deviation:	1.76
1947		Genre:	Thriller	Mean:	6.19		Standard Deviation:	0.82
1947		Genre:	Western	Mean:	4.75		Standard Deviation:	2.33
1947		Language:	English	Mean:	5.79		Standard Deviation:	1.77
1948		All Languages All		Mean:	5.79		Standard Deviation:	1.75
1948		Genre:	Action	Mean:	5.78		Standard Deviation:	1.29
1948		Genre:	Comedy	Mean:	5.79		Standard Deviation:	1.79
1948		Genre:	Crime	Mean:	5.93		Standard Deviation:	1.25
1948		Genre:	Drama	Mean:	5.95		Standard Deviation:	1.64
1948		Genre:	Music	Mean:	6.01		Standard Deviation:	0.78
1948		Genre:	Mystery	Mean:	6.35		Standard Deviation:	0.9
1948		Genre:	Romance	Mean:	6.04		Standard Deviation:	1.44
1948		Genre:	Thriller	Mean:	6.22		Standard Deviation:	0.77
1948		Genre:	Western	Mean:	5.25		Standard Deviation:	2.48
1948		Language:	English	Mean:	5.77		Standard Deviation:	1.68
1949		All Languages All		Mean:	5.87		Standard Deviation:	1.73
1949		Genre:	Action	Mean:	5.77		Standard Deviation:	0.9
1949		Genre:	Comedy	Mean:	5.47		Standard Deviation:	2.59
1949		Genre:	Crime	Mean:	6.16		Standard Deviation:	1.47
1949		Genre:	Drama	Mean:	6.14		Standard Deviation:	1.38
1949		Genre:	Mystery	Mean:	5.51		Standard Deviation:	1.22
1949		Genre:	Romance	Mean:	6.55		Standard Deviation:	0.82
1949		Genre:	Thriller	Mean:	6.0		Standard Deviation:	1.21
1949		Language:	English	Mean:	5.85		Standard Deviation:	1.71
1949		Language:	Français	Mean:	5.34		Standard Deviation:	2.72
1950		All Languages All		Mean:	5.54		Standard Deviation:	2.05
1950		Genre:	Action	Mean:	5.31		Standard Deviation:	1.83
1950		Genre:	Adventure	Mean:	5.88		Standard Deviation:	1.43
1950		Genre:	Comedy	Mean:	5.32		Standard Deviation:	2.41
1950		Genre:	Crime	Mean:	5.89		Standard Deviation:	1.6
1950		Genre:	Drama	Mean:	5.86		Standard Deviation:	1.99
1950		Genre:	Music	Mean:	5.33		Standard Deviation:	2.31
1950		Genre:	Romance	Mean:	5.38		Standard Deviation:	2.34
1950		Genre:	Thriller	Mean:	5.95		Standard Deviation:	1.46
1950		Genre:	Western	Mean:	5.2		Standard Deviation:	1.9
1950		Language:	English	Mean:	5.53		Standard Deviation:	1.96
1951		All Languages All		Mean:	5.73		Standard Deviation:	2.01
1951		Genre:	Action	Mean:	5.42		Standard Deviation:	1.65
1951		Genre:	Adventure	Mean:	5.07		Standard Deviation:	2.4
1951		Genre:	Comedy	Mean:	5.85		Standard Deviation:	2.25
1951		Genre:	Crime	Mean:	6.11		Standard Deviation:	0.97
1951		Genre:	Drama	Mean:	6.02		Standard Deviation:	1.66
1951		Genre:	Music	Mean:	5.76		Standard Deviation:	1.91
1951		Genre:	Romance	Mean:	6.08		Standard Deviation:	1.38
1951		Genre:	Thriller	Mean:	6.4		Standard Deviation:	0.8
1951		Genre:	War	Mean:	6.09		Standard Deviation:	0.75
1951		Genre:	Western	Mean:	4.59		Standard Deviation:	2.31
1951		Language:	English	Mean:	5.69		Standard Deviation:	1.89
1951		Language:	Français	Mean:	5.85		Standard Deviation:	2.66
1952		All Languages All		Mean:	5.56		Standard Deviation:	2.22
1952		Genre:	Action	Mean:	5.26		Standard Deviation:	2.26
1952		Genre:	Adventure	Mean:	5.29		Standard Deviation:	1.95
1952		Genre:	Comedy	Mean:	5.72		Standard Deviation:	2.43
1952		Genre:	Crime	Mean:	6.23		Standard Deviation:	0.79
1952		Genre:	Drama	Mean:	5.88		Standard Deviation:	1.83
1952		Genre:	Music	Mean:	4.32		Standard Deviation:	3.09
1952		Genre:	Romance	Mean:	5.75		Standard Deviation:	2.08
1952		Genre:	Thriller	Mean:	5.99		Standard Deviation:	1.07
1952		Genre:	Western	Mean:	4.62		Standard Deviation:	2.71
1952		Language:	English	Mean:	5.44		Standard Deviation:	2.27
1952		Language:	Français	Mean:	5.83		Standard Deviation:	2.19
1953		All Languages All		Mean:	5.67		Standard Deviation:	1.97
1953		Genre:	Action	Mean:	5.17		Standard Deviation:	1.9
1953		Genre:	Adventure	Mean:	5.33		Standard Deviation:	2.31
1953		Genre:	Comedy	Mean:	6.2		Standard Deviation:	1.74
1953		Genre:	Crime	Mean:	5.99		Standard Deviation:	0.95
1953		Genre:	Drama	Mean:	5.89		Standard Deviation:	1.91
1953		Genre:	Music	Mean:	5.74		Standard Deviation:	2.39
1953		Genre:	Romance	Mean:	5.94		Standard Deviation:	1.93
1953		Genre:	Science Fiction	Mean:	5.29		Standard Deviation:	1.43
1953		Genre:	Thriller	Mean:	6.19		Standard Deviation:	0.96
1953		Genre:	War	Mean:	5.9		Standard Deviation:	2.12
1953		Genre:	Western	Mean:	4.92		Standard Deviation:	2.3
1953		Language:	English	Mean:	5.6		Standard Deviation:	1.85
1953		Language:	Français	Mean:	6.83		Standard Deviation:	0.85
1953		Language:	Italiano	Mean:	6.34		Standard Deviation:	1.36
1954		All Languages All		Mean:	5.78		Standard Deviation:	1.8
1954		Genre:	Action	Mean:	5.61		Standard Deviation:	1.34
1954		Genre:	Adventure	Mean:	5.64		Standard Deviation:	1.59
1954		Genre:	Comedy	Mean:	6.29		Standard Deviation:	1.88
1954		Genre:	Crime	Mean:	5.58		Standard Deviation:	1.86
1954		Genre:	Drama	Mean:	6.27		Standard Deviation:	1.35
1954		Genre:	Music	Mean:	6.79		Standard Deviation:	0.94
1954		Genre:	Romance	Mean:	6.3		Standard Deviation:	1.52
1954		Genre:	Science Fiction	Mean:	5.39		Standard Deviation:	1.48
1954		Genre:	Thriller	Mean:	5.6		Standard Deviation:	1.27
1954		Genre:	War	Mean:	5.85		Standard Deviation:	0.88
1954		Genre:	Western	Mean:	4.28		Standard Deviation:	2.34
1954		Language:	English	Mean:	5.61		Standard Deviation:	1.9
1954		Language:	日本語	Mean:	7.1		Standard Deviation:	1.17
1955		All Languages All		Mean:	5.8		Standard Deviation:	1.96
1955		Genre:	Action	Mean:	5.8		Standard Deviation:	1.58
1955		Genre:	Adventure	Mean:	5.06		Standard Deviation:	2.56
1955		Genre:	Comedy	Mean:	5.65		Standard Deviation:	2.48
1955		Genre:	Crime	Mean:	5.74		Standard Deviation:	1.88
1955		Genre:	Drama	Mean:	5.89		Standard Deviation:	1.97
1955		Genre:	Family	Mean:	5.83		Standard Deviation:	2.8
1955		Genre:	Horror	Mean:	5.55		Standard Deviation:	1.58
1955		Genre:	Music	Mean:	6.31		Standard Deviation:	1.4
1955		Genre:	Mystery	Mean:	6.26		Standard Deviation:	0.85
1955		Genre:	Romance	Mean:	6.03		Standard Deviation:	1.87
1955		Genre:	Science Fiction	Mean:	5.13		Standard Deviation:	1.46
1955		Genre:	Thriller	Mean:	6.45		Standard Deviation:	0.82
1955		Genre:	War	Mean:	6.46		Standard Deviation:	1.34
1955		Genre:	Western	Mean:	5.34		Standard Deviation:	1.63
1955		Language:	English	Mean:	5.73		Standard Deviation:	1.87
1955		Language:	Français	Mean:	4.65		Standard Deviation:	3.01
1955		Language:	Italiano	Mean:	6.49		Standard Deviation:	1.19
1956		All Languages All		Mean:	6.02		Standard Deviation:	1.67
1956		Genre:	Action	Mean:	5.82		Standard Deviation:	1.61
1956		Genre:	Adventure	Mean:	5.73		Standard Deviation:	1.56
1956		Genre:	Comedy	Mean:	6.4		Standard Deviation:	1.41
1956		Genre:	Crime	Mean:	5.88		Standard Deviation:	1.72
1956		Genre:	Drama	Mean:	6.15		Standard Deviation:	1.71
1956		Genre:	Family	Mean:	5.54		Standard Deviation:	1.9
1956		Genre:	History	Mean:	6.28		Standard Deviation:	1.42
1956		Genre:	Horror	Mean:	5.72		Standard Deviation:	1.11
1956		Genre:	Music	Mean:	6.45		Standard Deviation:	0.9
1956		Genre:	Romance	Mean:	5.78		Standard Deviation:	1.76
1956		Genre:	Science Fiction	Mean:	5.36		Standard Deviation:	1.59
1956		Genre:	Thriller	Mean:	6.16		Standard Deviation:	1.43
1956		Genre:	War	Mean:	6.37		Standard Deviation:	1.08
1956		Genre:	Western	Mean:	5.85		Standard Deviation:	1.32
1956		Language:	English	Mean:	5.98		Standard Deviation:	1.51
1956		Language:	Français	Mean:	6.21		Standard Deviation:	1.9
1956		Language:	日本語	Mean:	6.95		Standard Deviation:	1.2
1957		All Languages All		Mean:	5.64		Standard Deviation:	1.99
1957		Genre:	Action	Mean:	6.22		Standard Deviation:	0.85
1957		Genre:	Adventure	Mean:	5.84		Standard Deviation:	2.02
1957		Genre:	Comedy	Mean:	6.06		Standard Deviation:	1.89
1957		Genre:	Crime	Mean:	5.88		Standard Deviation:	1.02
1957		Genre:	Drama	Mean:	5.94		Standard Deviation:	1.92
1957		Genre:	Fantasy	Mean:	6.01		Standard Deviation:	0.97
1957		Genre:	Horror	Mean:	5.11		Standard Deviation:	1.37
1957		Genre:	Romance	Mean:	6.16		Standard Deviation:	1.44
1957		Genre:	Science Fiction	Mean:	5.3		Standard Deviation:	1.06
1957		Genre:	Thriller	Mean:	5.98		Standard Deviation:	1.02
1957		Genre:	War	Mean:	6.54		Standard Deviation:	1.06
1957		Genre:	Western	Mean:	5.05		Standard Deviation:	2.23
1957		Language:	English	Mean:	5.58		Standard Deviation:	1.87
1957		Language:	日本語	Mean:	5.77		Standard Deviation:	2.18
1958		All Languages All		Mean:	5.81		Standard Deviation:	1.58
1958		Genre:	Action	Mean:	5.95		Standard Deviation:	1.06
1958		Genre:	Adventure	Mean:	5.48		Standard Deviation:	1.74
1958		Genre:	Comedy	Mean:	6.52		Standard Deviation:	0.98
1958		Genre:	Crime	Mean:	6.51		Standard Deviation:	0.81
1958		Genre:	Drama	Mean:	6.08		Standard Deviation:	1.65
1958		Genre:	History	Mean:	6.55		Standard Deviation:	0.85
1958		Genre:	Horror	Mean:	5.26		Standard Deviation:	1.3
1958		Genre:	Romance	Mean:	6.03		Standard Deviation:	1.67
1958		Genre:	Science Fiction	Mean:	4.98		Standard Deviation:	1.2
1958		Genre:	Thriller	Mean:	5.92		Standard Deviation:	1.18
1958		Genre:	War	Mean:	6.11		Standard Deviation:	1.17
1958		Genre:	Western	Mean:	5.62		Standard Deviation:	1.28
1958		Language:	English	Mean:	5.59		Standard Deviation:	1.63
1958		Language:	Français	Mean:	6.61		Standard Deviation:	0.89
1958		Language:	日本語	Mean:	5.63		Standard Deviation:	2.04
1959		All Languages All		Mean:	5.89		Standard Deviation:	1.8
