,model and manufacturer,age_depre_rate,mileage_depre_rate (*10**6),age_const,mileage_const,model,manufacturer,age_0_price,mileage_0_price
190,subaru outback,-0.1126,-8.598,10.2515,10.3048,outback,subaru,28324.99756699004,29875.678491844385
191,subaru impreza,-0.0878,-7.407,9.9937,9.9549,impreza,subaru,21888.135259015133,21055.140214217507
192,subaru legacy,-0.1239,-9.331,10.1992,10.1724,legacy,subaru,26881.67213216237,26170.811399710346
193,subaru wrx,-0.0394,-5.564,10.2952,10.4197,wrx,subaru,29590.24425479208,33513.37862400462
194,subaru crosstrek,-0.1251,-6.168,10.3435,10.1635,crosstrek,subaru,31054.530917972625,25938.924605132885
195,subaru xv crosstrek,-0.0808,-2.763,10.1186,9.8383,xv crosstrek,subaru,24800.026482617934,18737.834609564296
196,subaru outback 2.5i limited,-0.0878,-5.169,10.0173,9.899,outback 2.5i limited,subaru,22410.838893825818,19910.450029656364
197,subaru forester 2.5i premium,-0.0761,-6.851,9.8822,10.1453,forester 2.5i premium,subaru,19578.748563059347,25471.106237737804
198,subaru impreza wagon,-0.1265,-7.964,10.0669,9.8173,impreza wagon,subaru,23550.445112286954,18348.44300465132
199,subaru outback 2.5i premium,-0.1447,-8.643,10.3419,10.3568,outback 2.5i premium,subaru,31004.883397112033,31470.31501443713
200,subaru outback 2.5i,0.0494,10.033,7.9188,7.2856,outback 2.5i,subaru,2748.470900958025,1459.1363520763075
201,subaru outback limited,-0.1438,-10.997,10.5469,10.6046,outback limited,subaru,38059.2715062157,40319.88296148136
202,subaru legacy 2.5i premium,-0.13,-9.22,10.153,10.1405,legacy 2.5i premium,subaru,25667.990788516086,25349.137886019897
203,subaru wrx sti,-0.1106,-1.512,10.8548,10.4328,wrx sti,subaru,51782.10990682525,33955.29209751772
204,subaru impreza 2.0i premium,-0.0571,-1.306,9.6503,9.4226,impreza 2.0i premium,subaru,15526.4453391785,12364.688653769887
205,kia soul,-0.1229,-6.229,9.9566,9.7212,soul,kia,21090.964394507257,16667.233413932958
206,kia optima,-0.0984,-6.08,10.0319,9.9156,optima,kia,22740.43735570081,20243.722004539897
207,kia sorento,-0.1181,-6.121,10.1119,9.8714,sorento,kia,24634.421700703224,19368.435811671774
208,kia forte,-0.1233,-6.631,9.8525,9.6793,forte,kia,19005.80998330928,15983.304696924111
209,kia sportage,-0.1137,-10.702,10.1744,10.3367,sportage,kia,26223.20539904445,30844.076463825048
210,kia sedona,-0.1067,-20.464,9.8383,10.8025,sedona,kia,18737.834609564296,49143.506456964395
211,kia optima lx,-0.1321,-9.092,10.0986,10.0104,optima lx,kia,24308.953056234463,22256.736370564948
212,kia rio,-0.0255,-3.896,8.8192,8.8669,rio,kia,6762.852178836196,7093.257755776833
213,kia sorento lx,-0.1412,-11.925,10.2975,10.4599,sorento lx,kia,29658.38014281276,34888.06246623135
214,kia soul +,-0.102,-8.247,9.8469,9.9601,soul +,kia,18899.67490299384,21164.912102889444
215,kia optima ex,-0.1592,-8.599,10.4403,10.1169,optima ex,kia,34210.914172804085,24757.902253337255
216,kia forte lx,-0.0874,-6.03,9.5552,9.5559,forte lx,kia,14117.917297627639,14127.803299432933
217,kia sportage lx,-0.1168,-7.213,10.2043,9.831,sportage lx,kia,27019.118851254465,18601.546473842205
218,kia sedona lx,-0.0876,-17.236,9.6581,10.6364,sedona lx,kia,15648.025157707292,41622.659605153385
219,kia forte ex,-0.1349,-4.338,10.0115,9.3475,forte ex,kia,22281.2322508367,11470.11229043407
220,kia amanti,0.2804,-4.514,4.5029,8.8092,amanti,kia,90.27855986950054,6695.560675326976
221,volkswagen jetta,-0.1222,-9.922,9.9468,9.932,jetta,volkswagen,20885.282431199965,20578.456364688427
222,volkswagen passat,-0.1117,-7.967,10.0139,9.9228,passat,volkswagen,22334.77142955436,20390.002781838466
223,volkswagen tiguan,-0.1304,-9.731,10.2388,10.2031,tiguan,volkswagen,27967.54472786879,26986.71535461934
224,volkswagen beetle,-0.1291,-14.993,10.2431,10.3533,beetle,volkswagen,28088.06410115099,31360.3614428811
225,volkswagen gti,-0.1021,-10.703,10.2455,10.3161,gti,volkswagen,28155.556413372105,30215.188276425775
226,volkswagen cc,-0.1153,-6.325,10.1747,9.8213,cc,volkswagen,26231.073540826404,18421.983760126586
227,volkswagen golf gti,-0.1728,11.383,10.5089,9.0919,golf gti,volkswagen,36640.153199925546,8883.047819363464
228,volkswagen jetta sedan,-0.0877,-10.152,9.698,10.0108,jetta sedan,volkswagen,16285.00459708787,22265.64084588949
229,volkswagen atlas,-0.1799,-1.603,10.7346,10.3174,atlas,volkswagen,45917.42712886182,30254.493564086577
230,volkswagen golf,-0.1176,-7.481,10.2337,9.8426,golf,volkswagen,27825.273350142972,18818.580778231684
231,volkswagen jetta se,-0.1289,-7.95,10.0432,9.8016,jetta se,volkswagen,22998.861645212037,18062.622015222518
232,volkswagen rabbit,-0.0272,-1.162,8.7941,8.6324,rabbit,volkswagen,6595.217208903271,5610.5273731076195
233,volkswagen touareg,-0.1694,-6.553,11.1763,9.9643,touareg,volkswagen,71417.62738498913,21253.991669865285
234,volkswagen jetta s,-0.3299,-35.755,10.3953,11.5052,jetta s,volkswagen,32705.547800409015,99230.42997362225
235,volkswagen new beetle,-0.0898,-7.227,9.9857,9.4306,new beetle,volkswagen,21713.728733213346,12464.002890270696
236,volkswagen routan,-0.1519,-10.761,10.3354,10.0494,routan,volkswagen,30804.00521637627,23141.897540496368
237,lexus rx 350,-0.1101,-6.995,10.7189,10.3035,rx 350,lexus,45202.15311620196,29836.86534381737
238,lexus es 350,-0.1224,-10.049,10.7014,10.4918,es 350,lexus,44417.99681651081,36018.93314914675
239,lexus rx,-0.1165,-9.968,10.7945,10.6451,rx,lexus,48751.9268123098,41986.35653133159
240,lexus is,-0.1093,-4.166,10.585,10.0668,is,lexus,39537.307547183686,23548.09018552403
241,lexus es,-0.1122,-9.498,10.6045,10.4533,es,lexus,40315.85117477792,34658.55944701304
242,lexus is 250,-0.0952,-6.707,10.3329,10.096,is 250,lexus,30727.091385682994,24245.831871386836
243,lexus gs 350,0.3858,0.782,4.6378,9.0942,gs 350,lexus,103.31680041226333,8903.502343033186
244,lexus rx 330,-0.1127,-2.759,10.6974,9.4432,rx 330,lexus,44240.679699900764,12622.042887808951
245,lexus ls 460,-0.1025,-4.018,10.8316,10.1501,ls 460,lexus,50594.59341192319,25593.66144487014
246,lexus gs,-0.1474,-5.987,11.0275,10.5415,gs,lexus,61543.52948937805,37854.30534678008
247,lexus rc 350,-0.2843,355.075,11.8402,-14.9003,rc 350,lexus,138718.2255031164,3.3797294129778124e-07
248,lexus gx 460,-0.1002,-6.007,10.9492,10.8157,gx 460,lexus,56908.500350364215,49796.501024891026
249,lexus rx 450h,-0.1431,-14.23,11.0225,11.0146,rx 450h,lexus,61236.57985549407,60754.71674002884
250,lexus es350,-0.0658,5.039,9.9772,8.5793,es350,lexus,21529.944229655688,5320.379955541735
251,lexus gx 470,-0.1258,-4.259,11.4116,10.3547,gx 470,lexus,90363.8882218693,31404.29669640246
252,chrysler 200,-0.1828,-8.97,10.3243,9.8337,200,chrysler,30463.971437238342,18651.838513022078
253,chrysler town & country,-0.1198,-7.11,10.0394,9.9059,town & country,chrysler,22911.631812608714,20048.307195134053
254,chrysler 300,-0.1317,-7.808,10.4353,10.1835,300,chrysler,34040.28652652984,26462.925641009548
255,chrysler town and country,-0.0733,-7.508,9.6151,9.8405,town and country,chrysler,14989.42153062327,18779.103224536804
256,chrysler pacifica,-0.1455,-6.284,10.4836,10.44,pacifica,chrysler,35724.78555068263,34200.6524378894
257,chrysler pt cruiser,-0.0244,-3.715,8.7097,8.7284,pt cruiser,chrysler,6061.423788108306,6175.838859734541
258,chrysler sebring,-0.0702,-5.43,9.3786,9.024,sebring,chrysler,11832.437740147187,8299.910412070569
259,chrysler town country,-0.1165,-9.712,10.2288,10.3061,town country,chrysler,27689.263008198923,29914.542129775156
260,chrysler 200 limited,-0.0947,-4.321,9.7735,9.5913,200 limited,chrysler,17562.127220994804,14636.885122191285
261,chrysler town & country touring,-0.1039,-6.162,10.0483,9.8775,town & country touring,chrysler,23116.45544891758,19486.944353701154
262,chrysler crossfire,-0.5599,-7.5,17.3848,9.7375,crossfire,chrysler,35491365.51741029,16941.135556648376
